Cod Municipio,REGIAO,COD UF,UF,NOME MUNIC
1100015,1 - Norte,11,Rondônia,Alta Floresta D'Oeste
1100023,1 - Norte,11,Rondônia,Ariquemes
1100031,1 - Norte,11,Rondônia,Cabixi
1100049,1 - Norte,11,Rondônia,Cacoal
1100056,1 - Norte,11,Rondônia,Cerejeiras
1100064,1 - Norte,11,Rondônia,Colorado do Oeste
1100072,1 - Norte,11,Rondônia,Corumbiara
1100080,1 - Norte,11,Rondônia,Costa Marques
1100098,1 - Norte,11,Rondônia,Espigão D'Oeste
1100106,1 - Norte,11,Rondônia,Guajará-Mirim
1100114,1 - Norte,11,Rondônia,Jaru
1100122,1 - Norte,11,Rondônia,Ji-Paraná
1100130,1 - Norte,11,Rondônia,Machadinho D'Oeste
1100148,1 - Norte,11,Rondônia,Nova Brasilândia D'Oeste
1100155,1 - Norte,11,Rondônia,Ouro Preto do Oeste
1100189,1 - Norte,11,Rondônia,Pimenta Bueno
1100205,1 - Norte,11,Rondônia,Porto Velho
1100254,1 - Norte,11,Rondônia,Presidente Médici
1100262,1 - Norte,11,Rondônia,Rio Crespo
1100288,1 - Norte,11,Rondônia,Rolim de Moura
1100296,1 - Norte,11,Rondônia,Santa Luzia D'Oeste
1100304,1 - Norte,11,Rondônia,Vilhena
1100320,1 - Norte,11,Rondônia,São Miguel do Guaporé
1100338,1 - Norte,11,Rondônia,Nova Mamoré
1100346,1 - Norte,11,Rondônia,Alvorada D'Oeste
1100379,1 - Norte,11,Rondônia,Alto Alegre dos Parecis
1100403,1 - Norte,11,Rondônia,Alto Paraíso
1100452,1 - Norte,11,Rondônia,Buritis
1100502,1 - Norte,11,Rondônia,Novo Horizonte do Oeste
1100601,1 - Norte,11,Rondônia,Cacaulândia
1100700,1 - Norte,11,Rondônia,Campo Novo de Rondônia
1100809,1 - Norte,11,Rondônia,Candeias do Jamari
1100908,1 - Norte,11,Rondônia,Castanheiras
1100924,1 - Norte,11,Rondônia,Chupinguaia
1100940,1 - Norte,11,Rondônia,Cujubim
1101005,1 - Norte,11,Rondônia,Governador Jorge Teixeira
1101104,1 - Norte,11,Rondônia,Itapuã do Oeste
1101203,1 - Norte,11,Rondônia,Ministro Andreazza
1101302,1 - Norte,11,Rondônia,Mirante da Serra
1101401,1 - Norte,11,Rondônia,Monte Negro
1101435,1 - Norte,11,Rondônia,Nova União
1101450,1 - Norte,11,Rondônia,Parecis
1101468,1 - Norte,11,Rondônia,Pimenteiras do Oeste
1101476,1 - Norte,11,Rondônia,Primavera de Rondônia
1101484,1 - Norte,11,Rondônia,São Felipe D'Oeste
1101492,1 - Norte,11,Rondônia,São Francisco do Guaporé
1101500,1 - Norte,11,Rondônia,Seringueiras
1101559,1 - Norte,11,Rondônia,Teixeirópolis
1101609,1 - Norte,11,Rondônia,Theobroma
1101708,1 - Norte,11,Rondônia,Urupá
1101757,1 - Norte,11,Rondônia,Vale do Anari
1101807,1 - Norte,11,Rondônia,Vale do Paraíso
1200013,1 - Norte,12,Acre,Acrelândia
1200054,1 - Norte,12,Acre,Assis Brasil
1200104,1 - Norte,12,Acre,Brasiléia
1200138,1 - Norte,12,Acre,Bujari
1200179,1 - Norte,12,Acre,Capixaba
1200203,1 - Norte,12,Acre,Cruzeiro do Sul
1200252,1 - Norte,12,Acre,Epitaciolândia
1200302,1 - Norte,12,Acre,Feijó
1200328,1 - Norte,12,Acre,Jordão
1200336,1 - Norte,12,Acre,Mâncio Lima
1200344,1 - Norte,12,Acre,Manoel Urbano
1200351,1 - Norte,12,Acre,Marechal Thaumaturgo
